param m := 100;

param n := 100;


param fixo := 200 ;

param CAP := 20;

param matrix :	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	:=
67	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	
68	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	
69	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	
70	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	
71	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	
72	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	
73	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	
74	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	
75	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	
76	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	
77	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	
78	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	
79	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	
80	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	
81	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	
82	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	
83	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	
84	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	
85	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	
86	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	
87	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	
88	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	
89	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	
90	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	
91	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	
92	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	
93	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	
94	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	
95	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	
96	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	
97	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	
98	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	
99	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	
100	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	
;																																																																																																					


param custos :	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	:=
1	79.3	0	30.6	0	64.9	0	59.1	77.4	30.5	142.6	20.3	117.1	0	0	0	67.1	0	21.9	125.5	0	35.7	0	0	34.3	59.4	110.7	55.4	118.2	136.5	17.6	141.6	0	115.8	0	45.3	0	42.5	90	101.9	26.3	60.8	0	8.6	78.9	76.3	0	104.5	0	129	104.2	134.7	0	0	45.2	0	0	0	81.2	114.1	9.1	117.6	0	137.2	24.7	72.4	0	56.5	45.6	116.2	61.2	41.7	38.3	0	69.1	70.7	0	54.4	138.4	0	0	0	136.1	29.4	96.8	0	134	102.1	134.3	49.6	67.2	20.9	109.3	0	34.2	0	0	76.5	142.9	5.9	0	
2	41.4	59.1	95.8	71.8	33.6	67.7	44	2.5	111.6	0	108.6	46.8	107.1	0	0	16.3	0	31.5	17	74.9	126.2	20.8	6.1	99.1	0	123	76.5	27.9	74.6	0	15.5	79.9	137.9	24.5	57.6	51.1	86.8	139.7	0	13.5	33.6	39.7	0	19.2	70.6	0	115	22.8	18.3	134.3	61.9	5.4	5.4	0	17.2	119.5	28.8	12.3	109.1	0	117	19.8	68.7	2	45.8	23.6	86.4	17.3	12.8	0	0	18	77.6	41.7	99.7	111.4	24.9	109.3	14.9	0	65.7	4	0	138.7	0	39.3	68.1	0	0	122.2	56.3	126.8	0	21.6	0	0	141.5	0	37.5	88.2	
3	0	142.7	61.8	0	0	137.5	0	138.2	1.4	83.3	41.2	0	39.3	0	115.6	112.2	142.3	65.1	0	42	126.3	63	0	48.9	28.3	124.8	24.3	106.5	0	92	0	0	64	109.3	130.8	0	0	0	0	142.6	0	59.6	0	80.9	97.7	69.6	0	19.6	29.2	0	0	0	0	0	0	92.7	0	91.6	104	75.8	118.3	104.7	6.7	61.5	65.5	121.6	0	140.2	85.6	0	0	74	142.9	115.6	56.6	23.7	0	0	91.5	86.1	13.6	36.5	0	130.3	2.3	1.3	28.1	102.1	5.9	24.7	116.7	137.3	30.8	0	0	135.3	0	0	3	103.8	
4	116.8	0	0	0	5.3	24	66.1	7.1	123.6	94.9	99.9	103.3	96.2	19.7	0	0	0	55.3	124.7	126.9	0	103.4	30.9	115.2	0	22.5	0	31.2	83.8	3.7	72.6	0	0	45.6	83.2	93.5	40.1	95.6	142.7	0	0	139.9	5.9	6.4	62.7	47.9	105.3	0	0	1.8	10	0	0	119.4	0	0	0	125.6	69.3	42.3	0	111.4	92.9	0	134.6	134.4	110.6	0	0	63.6	101.8	130.1	105.8	59.1	134.7	0	72.3	124.7	55	13.1	110	0	47.9	90	3.8	125.6	100.6	107.1	60.8	131.1	24.1	84	5.9	22.5	0	114.8	138.1	0	30.2	0	
5	70.6	0	23.9	140.5	5.6	122.9	39.4	0	120.4	140.5	123	123.2	48.2	75.2	104.4	42.7	70.7	43	0	90.9	68.5	0	125.2	25	0	138.5	98.3	23.7	0	0	124.3	112.9	91.1	0	125.6	1.8	54.7	67.7	58.3	20.5	4.4	0	45.1	29.1	141.2	53.3	86.1	85.1	82.9	123.1	66.2	0	6.2	9.7	116.3	111.3	141.4	7.8	111.3	53	136.9	86.7	136.9	0	72	76.9	63.4	130.5	37.6	122	104.6	93.5	72.1	70.6	0	0	49.3	125.9	0	33.6	33.2	5.2	35.5	0	9.5	24.6	69.6	85.2	48.1	102.1	129.7	0	5.7	80.3	0	32.2	111.7	0	0	0	
6	7.4	10.9	34	73.8	0	0	40.2	10.7	0	0	38.3	114.2	29.9	0	23.8	115.8	104.5	138.7	32	49.1	98.9	72.2	135.9	12.6	36.7	136.3	132	0.6	105.6	79.8	24.9	0	51.3	0	33.1	39.3	96.2	127	52.4	31.9	77.7	0	70.4	15.7	0	101.1	70.4	0	34	51.4	0	0	3.7	103.2	0	4.4	52.6	13.9	29.8	70.7	0	0	0	138.2	9.7	0	57	115	0	0	0	60.5	121.1	100.9	57.8	0	26.7	93.1	130.5	118.7	136.1	39.1	4.1	115.9	140.9	33.4	0	86.9	0	0	48.4	142.7	59.3	74.1	79.9	38.7	5	47.8	32.4	45.2	
7	2.5	134.8	27.6	48.2	91.3	67.9	0	0	4.9	24.2	110.6	133.5	16.8	36	0	0	0	16.3	97.9	0	45.9	104.8	0	118.1	25.4	79.6	14.4	136.8	48.9	104.8	94.3	97.1	61.7	0	62.3	0	102	135.3	90.7	68.7	116.7	84.5	139.7	0	0	130.2	51.1	135.1	40.8	0	124.6	76	98.5	136.6	130	43	0	62.1	62.9	85.8	54.1	87.1	4.7	0	82.4	107.3	73.6	47.7	89.8	61.4	0	49.8	7.6	48.6	35.2	7.4	122	46	0	0	30.1	37.3	123.7	91.4	136	107.2	0	0	0	127.3	129.6	62.1	117.4	0	53.7	0	0	91.4	0.9	56.8	
8	0	49.8	75.6	0	48.8	0	132.7	0	125.4	103.6	125.5	118.5	105.9	0	42.9	101.5	0	0	85.7	70.3	131.1	0	60.9	91.9	1.3	54.4	48.5	42.2	23.3	101	125.3	0	90.8	0	0	28.8	0	14.7	0	0	24.6	0	100.9	111.8	3.2	5.6	16.4	0	48.7	76	45.3	85.8	17.2	70.6	23.4	0	130.5	8.1	133.2	77.4	0	43.4	121.7	0	0	47.6	4.1	49.2	122.4	26.3	91	52.5	31.4	0	11.6	2.1	90.6	0	21.2	0	118.1	0.9	55.2	101.2	56.8	0	0	94.6	104.4	125.8	126.2	8.1	0	101.5	71.4	57	0	0	120.1	49.6	
9	0	25.9	117.1	63.1	75.4	11.6	0	138.8	41.9	76.8	0	20	12.3	67.7	47.2	8.9	69.2	0	78.5	0	86.6	31.2	44.9	0	58.4	141.4	89.5	44.4	119.9	60.6	43.5	125.1	0	0	33.3	30.9	82.9	102.8	72	127.1	119.6	42.9	48.7	69.6	23.8	123.3	95.3	49.5	0	0	16.8	86.9	117.5	0	34.7	0	0	136.3	100.3	0	69.4	0	109.4	138	61	72.9	128.4	57.2	0	0	40.4	0	118.7	130.1	15	0	0	0	124.8	13.7	131.1	56.7	105.5	0	60.4	141.5	131	30.1	140	76.2	69.2	70.9	0	23.2	133.9	132.9	139.5	0	132.9	6.6	
10	0	112.3	95.3	17.2	88.6	67.7	114.6	32.1	26.3	135.8	97.1	0	0	0	103.8	31.6	141.7	63.7	69.4	0	0	48.1	0	0	0	112.9	111.4	0	68.8	0	0	115.6	87.4	72.6	24.5	103	0	28	37.3	72.7	120.9	9.3	28.7	66.4	51.6	0	116.9	0	0	115.1	0	113.6	32.6	72.4	48.1	112.4	118.2	76.6	133.3	0	66.7	0	22	0	31.6	0	66.2	0	0	124.6	0	132.2	91.7	13.8	74.4	21.3	60.2	0	0	128.5	67.5	0	69.1	123.6	2.2	0	7.9	137.8	0	99.3	80.8	0	41.8	5.5	0	11.1	138.2	55.3	65.5	0	
11	0	126	0	0	0	32.1	21.5	96.4	123.7	0	29.4	0	0	0	111.7	45.9	126.6	39.4	79.8	86.3	52.4	0	55.5	0	66.3	107.9	39	138.4	92.4	17.1	0	0	0	113.1	92.6	0	0	33.5	130.7	124.7	18.5	0	78.1	68.8	44.1	0	4.7	0	0	104	17	0	0	137.9	0	5.9	65.3	44.6	8.4	34.2	90.7	61.3	0	53	33.1	62	124.2	0	62.9	92.8	0	80.5	98.6	42.2	81.3	0	95.5	45.8	100.1	85.7	69.9	85.6	106.7	113.4	0	38.8	0	11.3	61.5	131.9	27.5	34.4	54.5	0	121.3	41	52.4	37.9	71.9	28.4	
12	108.5	83.4	0	0	0	102	60.7	0	84.7	0	0	0	134.1	132.6	114.8	0	101.9	0	0	54.4	115.8	4	0	112.1	0	9.2	63.3	74	60.2	0	29.3	0	82.4	12.8	2	99.5	23.6	0	69.7	0	21.1	0	131.9	34.2	109.5	134.5	142.3	76.3	0	127.3	0	90.3	56.1	0	0	61.2	0	113.4	0	0	52.2	110.6	115.1	96.8	142.9	108	140.2	100.2	10.5	47	76	53.6	65.1	84.5	79.1	49.2	96.3	44.3	0	0	51.1	91.3	0	115.1	0	28.6	96.9	4.9	20.8	0	0	0	0	98.9	0	99.3	0	93.4	87.2	55	
13	78.1	0	113.5	0	56.9	0	0	0	115	120.7	97.8	122.2	133.1	7	67.5	89.7	129.2	16.9	9.9	51.5	0	0	0	0	32.1	0	123	3.2	0	127.5	91.5	0	66.1	0	0	2.8	112.7	0	0.4	26.1	0	49.7	139.6	43	55.5	0	0	63	0	101.9	49.1	18.8	75.2	88.6	56.3	39	116.4	122.7	130.8	127.5	0	103.2	78.4	0	0	120.8	0	0	76.5	38.6	47.9	139.3	34.8	0	113	21.3	0	116.1	35.3	74	101.1	13.1	102.2	40.7	0	119.2	0	10.7	65.2	0	0	55.3	41.2	96	130.1	106	132.4	104.1	138	0	
14	0	31.5	34	9.5	112.6	0	0	25	83.4	0	91.2	0	28.3	25.7	100.3	0	0	0	46.7	135.9	10.7	65.8	31.8	66	0	60.9	104.3	44.2	9	46.8	101.9	0	97.2	88	0	135	107.1	18.5	0	58.2	0	128.6	0	124.6	0	12.7	87.2	0	17.4	94.5	123.4	1.8	0	78.1	0	0	56.3	40	54.1	0	15.8	108.2	0	0	0	52.7	0	0	0	77.9	141.2	0	0	0	67.4	45.4	0	0	107.6	0	0	138.6	94.3	130.1	0	25.8	116	137.1	49.7	46.9	63.1	50.2	52.2	22.1	0	42.5	112.8	135	0	56.7	
15	140.6	97.1	55.4	38.6	104.1	127.9	135.8	9.8	71.8	84.7	32.6	141.8	81.5	87.3	0	131.1	10.6	88.8	7.1	33.8	65.3	0	0	119.5	0	101.2	0	141.6	21.9	48.5	0	102	74.4	52.6	0	0	86.2	0	23.2	136	0	129.4	51.9	26.2	34	87	140.9	111.3	0	98.8	0	1.3	70	0	14.6	63.5	0	61.9	122	72.9	77.7	0	51.4	68.8	4.3	50.9	31.8	39.4	86.2	0	58.4	68.7	0	97.9	121.9	110.7	27.5	84.4	0	62.2	66.3	43.9	8.7	84.7	0	62.6	8.2	0	0	81.6	0	76.9	61.4	124.8	0	0	68.6	57.4	74.9	0	
16	20.5	132.1	70.8	113.6	65.5	93.7	46	60.1	16.2	0	0	63.5	33.2	0	53.6	43.4	14.1	142.2	74.5	132.1	134.9	31.8	87.3	43.7	99.3	91.6	104.3	68.4	64.7	111.7	13.5	128.1	55.2	0	113.3	1.9	137.8	0	106.4	37	90	0	19.4	20.4	84.2	0	46.3	0	3	0	104.2	0	107.7	47.1	44.2	42.1	119.7	120.1	0	58.3	0	9.5	0	55.1	0	0	124	76.4	0	130.7	0	110.3	80.8	91	23.5	79.2	109.6	2	92.8	50.8	0	28.7	61.4	1.1	0	120.2	87.2	0	100.5	0	0	0	73.5	7.1	0	118.3	70.9	33.2	0	16.6	
17	0	84.1	38.6	84.1	0	0	104.8	140.7	51	62.3	78.6	0	67.4	89.9	42	87.7	50.9	115.6	0	137.4	0	43.3	0	11.8	33.4	0	0	141.8	81.6	0	80.6	96.5	81.5	127.9	139.5	0	53.2	0	12.8	28.2	142.8	31.8	0	113.9	56.9	0	139.5	112	114.1	0	0	0	0	0	75.4	36.5	44.6	41.4	9.4	0	139.5	2.1	3.7	100.8	21	138.6	65.8	21.7	0	126.6	103	96.1	120.9	0	92.3	2.4	47.3	0	0	0	0	0	26.1	139.6	131.9	0	55.7	76.5	35.2	0	1.9	4.7	104.6	123.6	0	23.4	21.8	68.2	133.2	0	
18	103.9	44.9	0	8.9	119.3	0	124.4	74.8	0	0	0	61.8	0	0	0	66.9	0	87.9	0	138.6	0	53.1	38.4	55.1	103.6	23.8	0	0.9	125	81.8	102.6	41.5	0	0	0	29.6	107.2	0	43.4	137.2	0	117.9	72.8	96.7	0	0.5	115.9	0	0	107.8	0	118.4	39.3	2.8	24	142.2	126.5	135.3	113.6	0	86.1	11.7	0	79.9	139.9	0	0	17.4	107.5	14.5	0	35.1	126.5	65.3	0	70.5	23.1	22.6	61.2	8	0	20.7	0	0	15.1	57.6	142.2	114.5	2.4	21.8	46.8	132.3	5	101.3	59.2	0	52.7	4.9	0	25.2	
19	96.6	58.6	85	138.8	113.3	0	0	113	55.1	14.9	142.8	0	1.6	0	89.9	74.5	68.7	9.7	73.9	95	0	0	110	133.9	39.6	54.3	33.2	0	21.1	94.3	95.2	50.3	120.9	133	9.3	0	86.2	127.1	0	19.4	93.8	0	106.1	62.2	0	37.4	0	22.7	0	9.3	0	114.1	0	50.2	41.5	0	107.9	0	6	28.2	66.9	0	0	127	92.7	6.3	62.6	51.7	92.8	133.2	0	0	6.7	71.3	20.7	57.7	0	109.4	0	43.9	65	0	114.3	99.6	140	0	4.5	0	51.2	43.3	130.4	0	70.1	0	1.8	0	11.8	117.8	74	84.8	
